memberUrn,companyName
10013136,Commonwealth Bank
10013136,Commonwealth Bank
10013136,CommSec
10013136,Commonwealth Bank
100186032,PayPal
100186032,Optus
100186032,IBM
100186032,IBM
100186032,IBM
100186032,IBM
100186032,IBM
100186032,Jigsaw Clothing
100189195,Hotel Grand Chancellor Hobart
100189195,Hilton Hotels & Resorts
100189195,Adelaide Convention Centre
100189195,Taj Hotels
100189195,The Star Gold Coast
100189195,"Fairmont Resort & Spa Blue Mountains, MGallery by Sofitel"
100189195,The Star Gold Coast
100207000,Laing O'Rourke
100207000,CPB Contractors
100207000,CPB Contractors
100207000,Costain Group PLC
100207000,Lendlease
100207000,Laing O'Rourke
100271877,Transport for NSW
100271877,Reserve Bank of Australia
100271877,Amcor
100271877,Orica
100271877,SAP Ariba
100271877,IBM
100271877,NetApp
100271877,Nestlé
100271877,Novartis
100271877,Ciber Global
100271877,GSK
100271877,SAP
100271877,HCL AXON
100271877,RZ Group
100271877,Creative Personnel
1002879,Deloitte Australia
1002879,Grant Thornton Australia
1002879,Grant Thornton Australia
1002879,PwC
1002879,National Australia Bank
1002879,King & Wood Mallesons
1002879,Commonwealth Bank
1002879,KPMG
1002879,Cuscal Limited
1002879,Manpower UK
100324129,Victoria University
100324129,Exercise & Sports Science Australia (ESSA)
100324129,University of Verona
100324129,Exercise & Sports Science Australia (ESSA)
100324129,The University of Western Australia
100324129,Universidade Federal de Pernambuco
100356487,Hunter Valley Coal Chain Coordinator
100356487,University of Newcastle
100356487,Hunter Valley Coal Chain Coordinator
100356487,Hunter Valley Coal Chain Coordinator
100356487,Gilbert + Tobin
100356487,JPMorgan Chase & Co.
100356487,Hunter Valley Coal Chain Coordinator
100359188,Groupon
100359188,Universal Music Group
100369680,Karen David International
100378715,General Assembly
100496000,ASG Group
100496000,Dialog Information Technology
100496000,HCL Technologies
100497522,Guerrilla
100497522,Guerrilla
100518114,Biarri
100518114,Console Connect
100518114,Console Connect
100518114,NEXTDC
100518114,The University of Queensland
100518114,The University of Queensland
100518114,The University of Queensland
100518114,The University of Queensland
100518114,GEON print & communications solutions
100518114,Twyla AI
100518471,Enriched Health Care
100518471,Burgess Hill Physiotherapy
10066220,Softlink
10066220,"Department of Education & Training, Victoria"
10066220,"Department of Health, Victoria - now Department of Health & Human Services, Victoria"
10066220,Datalink Internet Systems Pty Ltd
10066220,Datalink Internet Systems Pty Ltd
10066220,Datalink Internet Systems Pty Ltd
10066220,Datalink Internet Systems Pty Ltd
10066220,Datalink Internet Systems Pty Ltd
10066220,Strathfield Group
10066220,Griffith University
10071947,Prodonovich Advisory
10071947,Meritas Law Firms Worldwide
10071947,Prodonovich Advisory
10071947,FMRC
10071947,Legal Sales and Service Organization
10071947,The College of Law Australia
10071947,Lawyers Weekly
10071947,Lawyers Weekly
10071947,The Law Society of New South Wales
10071947,Practice Builders
10071947,Crowe Horwath Australia
10071947,ICON APAC
10071947,"rogenSi is now TeleTech Consulting, Learning & Performance"
10071947,Baker McKenzie
10071947,Arthur Andersen & Co.
10071947,United International Pictures
10071947,Village Roadshow
10071947,Law Institute of Victoria
10071947,Lawyers Weekly
10071947,Lawyers Weekly
10071947,Lawyers Weekly
100723005,ACCC
100723005,Department of Communications and the Arts
100723005,Australian Chamber of Commerce and Industry
